ID,Date,Team,Acquired,Relinquished,Notes
430,08/10/1985,Sonics,, Tim McCormick,placed on IL recovering from arthroscopic surgery on right knee
431,22/10/1985,Bucks,, Charles Davis,placed on IL
432,22/10/1985,Cavaliers,, Keith Lee,placed on IL with pulled thigh muscle
433,22/10/1985,Cavaliers,, Lonnie Shelton,placed on IL recovering from arthroscopic surgery on left knee
434,24/10/1985,Knicks,, Bill Cartwright,placed on IL with bruised left foot
435,24/10/1985,Lakers,, Ronnie Lester,placed on IL with tendinitis in knee
436,24/10/1985,Suns,, Nick Vanos,placed on IL
437,25/10/1985,Bulls,, Quintin Dailey,placed on IL during drug rehab
438,28/10/1985,Spurs,, Tyrone Corbin,placed on IL with sprained knee
439,29/10/1985,Suns,, Bernard Thompson,placed on IL with stress fracture in left ankle
440,31/10/1985,Hawks,, Glenn Rivers / Doc Rivers,placed on IL with broken bone in right wrist (date approximate)
441,05/11/1985,Bulls,, Michael Jordan (Jeffrey),placed on IL with fractured navicular tarsal bone in left foot
442,06/11/1985,Sonics, Tim McCormick,,activated from IL
443,11/11/1985,Bucks, Charles Davis,,activated from IL
444,12/11/1985,Lakers,, Byron Scott,placed on IL with strained left hamstring
445,18/11/1985,Bulls, Quintin Dailey,,activated from IL
446,22/11/1985,Lakers, Byron Scott,,activated from IL
447,04/12/1985,76ers,, Sedale Threatt,placed on IL with pulled abdominal muscle
448,04/12/1985,Hawks, Glenn Rivers / Doc Rivers,,activated from IL
449,05/12/1985,76ers,, Voise Winters,waived
450,10/12/1985,Cavaliers, Lonnie Shelton,,activated form IR
451,10/12/1985,Suns, Bernard Thompson,,activated from IL
452,14/12/1985,Cavaliers, Keith Lee,,activated from IL
453,16/12/1985,76ers, Sedale Threatt,,activated from IL
454,17/12/1985,Clippers, Derek Smith,,activated from IL
455,17/12/1985,Kings,, Otis Thorpe,placed on IL with strained ligament in knee
456,29/12/1985,Sonics, Frank Brickowski,,activated from IL
457,03/01/1986,Mavericks,, Charlie Sitton,placed on IL
458,05/01/1986,Clippers,, Derek Smith,placed on IL with sore left knee
459,17/01/1986,Bullets, Jeff Ruland,,activated from IL
460,15/02/1986,Jazz,, Jeff Cook,placed on IL
461,22/02/1986,Bulls,, Jawann Oldham,placed on IL with broken left cheekbone
462,27/02/1986,Bucks,, Earl Jones,placed on IL with stress fracture in right foot
463,05/03/1986,Bulls,, Dave Corzine,placed on IL with broken left hand
464,05/03/1986,Bulls, Jawann Oldham,,activated from IL
465,14/03/1986,Bulls,, Jawann Oldham,placed on IL with re-injured left cheekbone
466,14/03/1986,Bulls, Michael Jordan (Jeffrey),,activated from IL
467,05/04/1986,76ers,, Moses Malone,placed on IL
468,05/04/1986,76ers, Bobby Jones (C.),,"""activated"""
469,09/04/1986,Bucks,, Derrick Rowland,placed on IL recovering from arthroscopic surgery on knee (date approxiomate)
470,10/04/1986,Jazz, Jeff Cook,,activated from IL
471,13/04/1986,Bulls, Jawann Oldham,,activated from IL
472,13/09/1986,Kings,, Franklin Edwards,placed on IL with fractured right foot
473,12/10/1986,Suns,, William Bedford,placed on IL recovering from surgery on right knee to remove bone chips (date approximate)
474,30/10/1986,Bucks,, Chris Engler,placed on IL
475,30/10/1986,Bullets,, Ennis Whatley,placed on IL with sprained right thumb
476,30/10/1986,Bullets,, Jay Vincent,placed on IL with ruptured tendon in right ring finger
477,30/10/1986,Bulls,, Gene Banks,placed on IL with broken right foot
478,30/10/1986,Celtics,, Scott Wedman,placed on IL
479,30/10/1986,Hawks,, Antoine Carr,placed on IL
480,30/10/1986,Rockets,, Ralph Sampson,placed on IL with sprained ankle
481,30/10/1986,Sonics,, Nate McMillan,placed on IL
482,30/10/1986,Knicks,, Jawann Oldham,placed on IL with sore hip
483,01/11/1986,Suns,, Bernard Thompson,placed on IL with stress fracture in left shin
484,02/11/1986,Clippers,, Darnell Valentine,placed on IL with broken left hand (date approximate)
485,07/11/1986,Lakers,, Petur Gudmundsson,placed on IL
486,10/11/1986,Bucks, Scott Skiles,,activated from IL
487,10/11/1986,Celtics,, Bill Walton,placed on IL
488,11/11/1986,Celtics, Danny Ainge,,activated from IL
489,16/11/1986,Rockets, Ralph Sampson,,activated from IL
490,17/11/1986,Bucks,, Scott Skiles,placed on IL with sprained ankle
491,18/11/1986,Celtics, Danny Ainge,,activated from IL
492,20/11/1986,Nets,, Darryl Dawkins,placed on IL with back injury
493,20/11/1986,Nets, Pace Mannion,,activated from IL
494,21/11/1986,Warriors,, Purvis Short,placed on IL with sore left knee
495,21/11/1986,Warriors, Ben McDonald,,activated from IL
496,25/11/1986,Celtics, Scott Wedman,,activated from IL
497,26/11/1986,Cavaliers,, Carlton McCray / Scooter McCray,placed on IL with sore knee
498,26/11/1986,Cavaliers, Phil Hubbard,,activated from IL
499,28/11/1986,Suns,, James Edwards,placed on IL with left heel tendinitis
500,28/11/1986,Suns, William Bedford,,activated from IL
501,02/12/1986,Clippers, Darnell Valentine,,activated
502,08/12/1986,Bulls, Gene Banks,,activated from IL
503,08/12/1986,Rockets,, Robert Reid,placed on IL recovering from arthroscopic surgery on right knee
504,09/12/1986,Cavaliers, Carlton McCray / Scooter McCray,,activated from IL
505,11/12/1986,Celtics,, Scott Wedman,placed on IL with sore left heel (date approximate)
506,15/12/1986,Sonics, Terence Stansbury,,activated from IL
507,29/12/1986,Pacers,, Ron Anderson,placed on IL with sprained left knee
508,31/12/1986,Pacers,, Herb Williams,placed on IL with bruised ribs
509,05/01/1987,76ers,, Andrew Toney,placed on IL with sore foot
510,07/01/1987,Pistons,, Rick Mahorn,placed on IL
511,08/01/1987,Bucks,, Paul Pressey,placed on IL recovering from surgery on right ring finger to repair partially divided tendon (out 4-5 weeks) (date approximate)
512,09/01/1987,Bucks,, Paul Pressey,placed on IL recovering from surgery on right ring finger to repair partially divided tendon
513,09/01/1987,Bulls,, Sedale Threatt,placed on IL with broken right ring finger
514,10/01/1987,Pacers, Herb Williams,,activated from IL
515,12/01/1987,Cavaliers,, Mark Price,placed on IL with appendectomy
516,15/01/1987,Kings, Franklin Edwards,,activated from IL
517,21/01/1987,Knicks, Kenny Walker,,activated from IL
518,22/01/1987,Pacers, Ron Anderson,,activated from IL
519,23/01/1987,76ers,, Kenny Green,placed on IL with ankle injury
520,23/01/1987,76ers, Andrew Toney,,activated from IL
521,23/01/1987,Cavaliers,, John Bagley,placed on IL with sprained left ankle
522,27/01/1987,Warriors,, Chris Washburn,placed on IL
523,27/01/1987,Warriors, Purvis Short,,activated from IL
524,28/01/1987,76ers,, Jeff Ruland,placed on IL recovering from arthroscopic surgery on left knee
525,01/02/1987,Kings,, Kings,placed on IL with right foot injury
526,02/02/1987,76ers, Kenny Green,,activated from IL
527,11/02/1987,Bucks,, Keith Smith,placed on IL
528,11/02/1987,Bucks, Paul Pressey,,activated from IL
529,13/02/1987,Bulls, Sedale Threatt,,activated from IL
530,13/02/1987,Hawks,, Scott Hastings,placed on IL with knee injury
531,13/02/1987,Hawks,, Wayne Rollins / Tree Rollins,placed on IL with fractured big toe
532,14/02/1987,Bucks, Sidney Moncrief,,activated from IL
533,05/03/1987,Suns,, Grant Gondrezick,placed on IL with sore knee
534,05/03/1987,Suns, Bernard Thompson,,activated from IL
535,17/03/1987,Bucks,, Marvin Webster,placed on suspended list
536,17/03/1987,Bucks, Dudley Bradley,,activated from IL
537,21/03/1987,Knicks,, Patrick Ewing (Sr.),placed on IL with sprained left knee
538,23/03/1987,Suns,, William Bedford,placed on IL with weakness in right knee
539,26/03/1987,Warriors,, Purvis Short,placed on IL with pulled thigh muscle
540,30/03/1987,Celtics,, Rick Carlisle,placed on IL
541,30/03/1987,Celtics, Sam Vincent,,activated
542,31/03/1987,Bullets,, Frank Johnson,placed on IL
543,31/03/1987,Bullets, Dan Roundfield,,"""activated"""
544,03/04/1987,Bucks,, Junior Bridgeman,placed on IL
545,03/04/1987,Sonics,, Alton Lister,placed on IL with broken bone in foot
546,19/04/1987,Blazers,, Ron Rowan,placed on IL
547,19/04/1987,Blazers, Ken Johnson (H.),,activated
548,31/10/1987,Clippers,, Lancaster Gordon,placed on IL recovering from arthroscopic surgery on right knee
549,01/11/1987,Suns,, Bernard Thompson,placed on IL with stress fracture in foot (date approximate)
550,01/11/1987,Suns,, Larry Nance (Sr.),placed on IL with broken right hand (date approximate)
551,03/11/1987,Celtics,, Bill Walton,placed on IL recovering from surgery on foot (date approximate)
552,03/11/1987,Celtics,, Kevin McHale,placed on IL recovering from surgery on foot (date approximate)
553,03/11/1987,Kings,, Franklin Edwards,placed on IL with sprained right ankle
554,03/11/1987,Knicks,, Louis Orr,placed on IL recovering from back surgery
555,04/11/1987,Mavericks,, Brad Davis,placed on IL
556,05/11/1987,Blazers,, Jim Paxson Jr.,placed on IL recovering from surgery on toe
557,05/11/1987,Blazers,, Ronnie Murphy,placed on IL
558,05/11/1987,Blazers,, Sam Bowie,placed on IL with broken bone in right leg
559,05/11/1987,Nuggets,, Maurice Martin / Mo Martin,placed on IL
560,05/11/1987,Nuggets,, Mike Evans,placed on IL
561,05/11/1987,Warriors,, Kevin Henderson,placed on IL
562,12/11/1987,Bucks,, Dudley Bradley,placed on IL with bruised left thigh
563,12/11/1987,Spurs,, Mike Mitchell,placed on IL recovering from arthroscopic surgery on knee
564,13/11/1987,Pacers,, Herb Williams,placed on IL with bruised lower left leg
565,14/11/1987,Pacers, Brian Rowsom,,activated from IL
566,15/11/1987,Suns,, Armon Gilliam / Armen Gilliam,placed on IL with broken left big toe
567,15/11/1987,Suns, Winston Crite,,activated from IL
568,20/11/1987,Warriors,, Larry Smith,placed on IL
569,20/11/1987,Warriors, Kevin Henderson,,activated from IL
570,24/11/1987,Kings,, Michael Jackson,placed on IL
571,24/11/1987,Kings, Franklin Edwards,,activated from IL
572,24/11/1987,Pacers, Herb Williams,,activated from IL
573,24/11/1987,Warriors,, Terry Teagle,placed on IL
574,25/11/1987,Kings,, Kenny Smith,placed on IL
575,25/11/1987,Warriors, Chris Washburn,,activated from IL
576,30/11/1987,Bucks,, Jerry Reynolds (b. 1962-12-23),placed on IL with left ankle injury
577,30/11/1987,Bucks, Dudley Bradley,,activated from IL
578,30/11/1987,Celtics, Kevin McHale,,activated from IL
579,30/11/1987,Knicks,, Bob Thornton,placed on IL with sprained left ankle
580,30/11/1987,Knicks,, Trent Tucker,placed on IL with sprained knee
581,30/11/1987,Knicks, Ray Tolbert,,activated from IL
582,01/12/1987,Spurs, Mike Mitchell,,activated from IL
583,01/12/1987,Suns,, Eddie Johnson (Lee),placed on IL with pulled right calf muscle
584,01/12/1987,Suns, Larry Nance (Sr.),,activated from IL
585,04/12/1987,Bucks,, Larry Krystkowiak,placed on IL with sprained left ankle
586,05/12/1987,Rockets, Robert Reid,,activated from IL
587,08/12/1987,Pacers, Scott Skiles,,activated from IL
588,09/12/1987,76ers, Andrew Toney,,activated from IL
589,09/12/1987,Knicks, Bob Thornton,,activated from IL
590,10/12/1987,Suns,, Walter Davis (P.),placed on IL
591,10/12/1987,Suns, Eddie Johnson (Lee),,activated from IL
592,13/12/1987,Lakers,, Jeff Lamp,placed on IL recovering from surgery on shoulder
593,13/12/1987,Warriors,, Chris Mullin,placed on IL
594,16/12/1987,Bucks,, Pace Mannion,placed on IL with sprained knee (date approximate)
595,16/12/1987,Knicks, Louis Orr,,activated from IL
596,17/12/1987,Celtics,, Greg Kite,placed on IL with strained lower back
597,18/12/1987,Blazers, Ronnie Murphy,,activated from IL
598,26/12/1987,Bucks, Pace Mannion,,activated from IL
599,29/12/1987,Cavaliers, Ron Harper (Sr.),,activated from IL
600,31/12/1987,Pacers,, Scott Skiles,placed on IL
601,02/01/1988,Bucks,, John Stroeder,placed on IL with tendinitis in both knees
602,02/01/1988,Bucks, Larry Krystkowiak,,activated from IL
603,06/01/1988,Suns, Armon Gilliam / Armen Gilliam,,activated from IL
604,07/01/1988,Suns,, Winston Crite,placed on IL
605,08/01/1988,Celtics,, Greg Kite,placed on IL
606,08/01/1988,Nets,, Mike O'Koren,placed on IL
607,08/01/1988,Nets, Kevin McKenna,,activated from IL
608,09/01/1988,Clippers,, Reggie Williams,placed on IL with strained biceps tendon and strained collateral ligament in left knee
609,14/01/1988,Bucks,, Larry Krystkowiak,placed on IL with tendinitis in foot
610,17/01/1988,Blazers,, Kiki Vandeweghe,placed on IL with strained lower back
611,18/01/1988,Bucks, John Stroeder,,activated from IL
612,18/01/1988,Kings, Derek Smith,,activated from IL
613,22/01/1988,Bucks, Larry Krystkowiak,,activated from IL
614,22/01/1988,Bullets,, Jay Murphy,placed on IL
615,22/01/1988,Bullets, Darrell Walker,,activated from IL
616,28/01/1988,Blazers,, Steve Johnson,placed on IL recovering from surgery on thumb
617,30/01/1988,Cavaliers,, Johnny Rogers,placed on IL with sprained left ankle
618,30/01/1988,Cavaliers, Kent Benson,,activated from IL
619,30/01/1988,Clippers, Lancaster Gordon,,activated from IL
620,01/02/1988,Pacers, Scott Skiles,,activated from IL
621,02/02/1988,Blazers, Kiki Vandeweghe,,activated from IL
622,12/02/1988,76ers,, Cliff Robinson,placed on IL
623,14/02/1988,Warriors, Larry Smith,,activated from IL
624,17/02/1988,Spurs, David Greenwood,,activated from IL
625,17/02/1988,Suns,, Bernard Thompson,placed on IL
626,17/02/1988,Suns, Winston Crite,,activated from IL
627,23/02/1988,Cavaliers,, Kent Benson,placed on IL with elbow inflammation
628,23/02/1988,Cavaliers, Johnny Rogers,,activated from IL
629,26/02/1988,Clippers, Reggie Williams,,activated from IL
630,26/02/1988,Suns,, Craig Hodges,placed on IL with sore right Achilles tendon
631,27/02/1988,Nets,, Orlando Woolridge,placed on restricted list (player admitted to cocaine addiction and entered drug rehab clinic)
632,29/02/1988,Blazers,, Kiki Vandeweghe,placed on IL with strained lower back
633,02/03/1988,76ers,, Andrew Toney,placed on IL with recurring foot injury
634,02/03/1988,Knicks,, Rick Carlisle,placed on IL
635,03/03/1988,Blazers, Steve Johnson,,activated from IL
636,03/03/1988,Clippers,, Joe Wolf,placed on IL
637,12/03/1988,Bucks, Larry Krystkowiak,,activated from IL
638,19/03/1988,Clippers,, Reggie Williams,placed on IL with sprained ligament in right knee
639,19/03/1988,Clippers, Martin Nessley,,activated from IL
640,24/03/1988,Knicks, Pat Cummings,,activated from IL
641,27/03/1988,Knicks, Rick Carlisle,,activated from IL
642,30/03/1988,Lakers,, Billy Thompson,placed on IL
643,01/04/1988,Kings,, LaSalle Thompson,placed on IL with torn lateral meniscus in right knee (out for season)
644,02/04/1988,Suns, Jeff Cook,,activated from IL
645,04/04/1988,Suns,, Jeff Cook,placed on IL with elbow and back injuries
646,05/04/1988,Suns, Bernard Thompson,,activated from IL
647,21/10/1988,Jazz,, Bobby Hansen,placed on IL with broken left hand (date approximate)
648,02/11/1988,Nuggets,, Bill Hanzlik,placed on IL with back injury
649,02/11/1988,Nuggets,, Calvin Natt,placed on IL
650,02/11/1988,Nuggets,, Maurice Martin / Mo Martin,placed on IL recovering from surgery on right knee
651,03/11/1988,Bulls,, Charles Davis / Charlie Davis) (E.),placed on IL
652,03/11/1988,Bulls,, Scottie Pippen (Sr.),placed on IL
653,03/11/1988,Cavaliers,, Gary Voce,placed on IL
654,03/11/1988,Mavericks,, Detlef Schrempf,placed on IL
655,03/11/1988,Pacers,, John Long,placed on IL
656,03/11/1988,Pacers,, Steve Stipanovich,placed on IL recovering from arthroscopic surgery on left knee
657,18/11/1988,Bulls, Scottie Pippen (Sr.),,activated from IL
658,21/11/1988,Bucks,, Jay Humphries,placed on IL
659,21/11/1988,Bucks, Jeff Grayer,,activated from IL
660,25/11/1988,Suns, Winston Crite,,activated from IL
661,29/11/1988,Bulls, Charles Davis / Charlie Davis) (E.),,activated from IL
662,29/11/1988,Rockets,, Bernard Thompson,placed on IL
663,29/11/1988,Rockets, Purvis Short,,activated from IL
664,01/12/1988,Bucks,, Jeff Grayer,placed on IL
665,01/12/1988,Bucks, Jay Humphries,,activated from IL
666,08/12/1988,Clippers, Charles Smith (Daniel),,activarted from IL
667,13/12/1988,Jazz, Bobby Hansen,,activated from IL
668,13/12/1988,Mavericks, Roy Tarpley,,activated
669,13/12/1988,Nets,, Walter Berry,placed on IL
670,13/12/1988,Nets, Keith Lee,,activated from IL
671,13/12/1988,Nuggets,, Jay Vincent,placed on IL
672,13/12/1988,Nuggets, Calvin Natt,,activated from IL
673,15/12/1988,76ers, Ben Coleman,,activated from IL
674,16/12/1988,Bucks, Jeff Grayer,,activated from IL
675,16/12/1988,Hornets,, Rex Chapman,placed on IL with strained back
676,16/12/1988,Hornets, Dell Curry,,activated from IL
677,24/12/1988,Heat, Dwayne Washington / Pearl Washington,,activated from IL
678,27/12/1988,Blazers,, Craig Neal,placed on IL with injuries suffered in car accident
679,27/12/1988,Blazers, Jerry Sichting,,activated from IL
680,27/12/1988,Suns,, Dan Majerle,placed on IL
681,28/12/1988,Nets,, Keith Lee,placed on IL
682,31/12/1988,Heat,, Sylvester Gray,placed on IL recovering from surgery on thumb
683,01/01/1989,Spurs,, Johnny Dawkins,placed on IL with nerve damage in left leg (date approximate)
684,02/01/1989,Nuggets,, Jay Vincent,placed on IL with swollen foot
685,03/01/1989,Blazers,, Rolando Ferreira,placed on IL
686,03/01/1989,Blazers, Kiki Vandeweghe,,activated from IL
687,12/01/1989,Pistons,, Joe Dumars,placed on IL with broken middle finger on left hand
688,14/01/1989,Rockets,, Buck Johnson,placed on IL with deep thigh bruise (date approximate)
689,27/01/1989,Warriors, Ralph Sampson,,activated from IL
690,07/02/1989,Nets,, John Bagley,placed on IL
691,09/02/1989,Blazers, Sam Bowie,,activated from IL
692,14/02/1989,Hawks,, Dudley Bradley,placed on IL with swollen knee
693,14/02/1989,Rockets, Buck Johnson,,activated from IL
694,24/02/1989,Heat, Sylvester Gray,,activated from IL
695,03/03/1989,Knicks, Pete Myers,,activated from IL
696,03/03/1989,Suns,, Eddie Johnson (Lee),placed on IL
697,03/03/1989,Suns, Steve Kerr,,activated from IL
698,04/03/1989,Warriors,, John Starks,placed on IL
699,04/03/1989,Warriors, Ben McDonald,,activated from IL
700,07/03/1989,Spurs, Johnny Dawkins,,activated from IL
701,09/03/1989,Celtics,, Ramon Rivas,placed on IL with back spasms
